character,community,degree,betweenness,closeness,pagerank
Addam-Marbrand,0,0.010752688172043012,0.0,0.3234782608695652,0.0012764410388105025
Jaime-Lannister,0,0.15591397849462366,0.07745109164464009,0.46153846153846156,0.014403331572046032
Tywin-Lannister,0,0.11827956989247312,0.04121121121121119,0.4492753623188406,0.011424137974783791
Tyrion-Lannister,0,0.24731182795698928,0.15311225972516293,0.510989010989011,0.04367631315626212
Catelyn-Stark,0,0.23118279569892475,0.10169012330302643,0.5054347826086957,0.034666613211363564
Bronn,0,0.05376344086021506,0.03372759856630824,0.3712574850299401,0.008102785161720095
Chiggen,0,0.016129032258064516,0.0,0.340036563071298,0.0018284863941656752
Marillion,0,0.02688172043010753,0.0,0.36186770428015563,0.002539290144368223
Shae,0,0.010752688172043012,0.0,0.33941605839416056,0.0016771372692824037
Shagga,0,0.03225806451612903,0.02188317349607672,0.3438077634011091,0.006641356354680852
Vardis-Egen,0,0.03225806451612903,8.718395815170008e-05,0.3597678916827853,0.0036281075991438957
Willis-Wode,0,0.03225806451612903,0.004396977622784074,0.36257309941520466,0.002582504509863889
Brynden-Tully,0,0.05913978494623656,0.031507452152613455,0.384297520661157,0.005240443509316322
Edmure-Tully,0,0.05913978494623656,0.04919444790412533,0.40522875816993464,0.004947543682702282
Hoster-Tully,0,0.02688172043010753,0.01613899613899614,0.3835051546391753,0.002390659621531906
Lysa-Arryn,0,0.08064516129032259,0.02331811073746557,0.4295612009237875,0.009795757326617584
Nestor-Royce,0,0.010752688172043012,0.0006393490264458006,0.33695652173913043,0.0011658280575412175
Walder-Frey,0,0.03763440860215054,0.038438576825673636,0.36046511627906974,0.004238110126643803
Colemon,0,0.010752688172043012,0.0,0.33695652173913043,0.0013055689430483343
Donnel-Waynwood,0,0.005376344086021506,0.0,0.33634719710669075,0.000972142345010062
Eon-Hunter,0,0.016129032258064516,0.002486818615850874,0.33879781420765026,0.0014032256088375573
Masha-Heddle,0,0.005376344086021506,0.0,0.33634719710669075,0.0010854778833946667
Moreo-Tumitis,0,0.005376344086021506,0.0,0.33634719710669075,0.000972142345010062
Mya-Stone,0,0.005376344086021506,0.0,0.33634719710669075,0.001312148960163876
Mychel-Redfort,0,0.005376344086021506,0.0,0.33634719710669075,0.000972142345010062
Robert-Arryn,0,0.016129032258064516,0.0,0.3576923076923077,0.00196890811040906
Stevron-Frey,0,0.010752688172043012,0.0025186476799380023,0.33879781420765026,0.001349260089020661
Tytos-Blackwood,0,0.016129032258064516,0.011527656688947013,0.340036563071298,0.0025197086803563883
Wendel-Manderly,0,0.010752688172043012,0.012680422357841713,0.34896810506566606,0.0011165137875877858
Chella,0,0.005376344086021506,0.0,0.33879781420765026,0.0010877299214714262
Clement-Piper,0,0.005376344086021506,0.0,0.22572815533980584,0.0017149421624734324
Karyl-Vance,0,0.016129032258064516,0.01075268817204301,0.29107981220657275,0.002951993528646424
Conn,0,0.016129032258064516,0.01075268817204301,0.34191176470588236,0.0036404453185544627
Coratt,0,0.005376344086021506,0.0,0.2551440329218107,0.0015756962818758561
Dolf,0,0.005376344086021506,0.0,0.256198347107438,0.0017008449903993866
Gunthor-son-of-Gurn,0,0.005376344086021506,0.0,0.33879781420765026,0.0012019662750867347
Harys-Swyft,0,0.005376344086021506,0.0,0.3163265306122449,0.0009545304767117637
Kevan-Lannister,0,0.016129032258064516,0.0,0.3570057581573896,0.002344966118400888
Jonos-Bracken,0,0.005376344086021506,0.0,0.2540983606557377,0.0014447468838774545
Jyck,0,0.010752688172043012,0.0,0.33941605839416056,0.001922965490928
Morrec,0,0.010752688172043012,0.0,0.33941605839416056,0.001830744838636004
Kurleket,0,0.005376344086021506,0.0,0.33879781420765026,0.0010877299214714262
Leo-Lefford,0,0.005376344086021506,0.0,0.33879781420765026,0.001030611744663772
Lyn-Corbray,0,0.005376344086021506,0.0,0.30097087378640774,0.0009831523527319462
Mord,0,0.005376344086021506,0.0,0.33879781420765026,0.0019445025735862396
Timett,0,0.010752688172043012,0.009084568439407149,0.34065934065934067,0.0014870398266939645
Ulf-son-of-Umar,0,0.005376344086021506,0.0,0.256198347107438,0.0013156852962710017
Eddard-Stark,1,0.3548387096774194,0.18703429235687297,0.5636363636363636,0.07236162026570049
